waitTime,numInQueue,sessionTime,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
0,0,0,75.43333333,85625,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.01,75.38333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,0.01,3.316666667,33333,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,3.266666667,66667,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.03,3.216666667,0.8625,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,75.26666667,44444,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,3.183333333,88889,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,75.15,55556,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0,3.066666667,86875,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0.01,75.08333333,33333,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,0.01,75.06666667,77778,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,0.02,3,77778,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.02,75.01666667,11111,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,2.916666667,8.875,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,74.96666667,44444,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,0,0.01,2.833333333,22222,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0.01,74.9,22222,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2,0.01,74.88333333,66667,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,2,0.01,2.8,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,3,0.11,2.783333333,55556,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3,0,74.78333333,33333,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,74.58333333,66667,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,2.5,11111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.01,74.5,88889,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.01,74.46666667,77778,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
