waitTime,numInQueue,sessionTime,daysLeftClean,daysLeft,hoursToDeadline,signUpTimeClean,adjustedSessionTAs,bitAndKarel,imagesAndGraphics,mapsAndDictionaries,lambdas,fileReading,grids,strings,userInteraction,queuesAndStacks,recursion,structs,objectOrientedProgramming,pointersAndMemory,sorting,hashTables,CS106ABinary
22,1,0.01,3.2,3.20,76.86666667,77778.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,1,0.0,0.2,0.20,4.783333333,22222.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2,0.01,0.0,80.20,76.7,22222.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.01,0.18,0.18,4.366666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,0.02,3.18,3.18,76.4,22222.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.02,0.0,80.18,76.31666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,0.01,3.18,3.18,76.28333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,0,0.03,0.18,0.18,4.216666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,3.17,3.17,76.15,88889.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,0.0,3.17,3.17,76.15,88889.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,0.0,3.17,3.17,76.13333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,0.0,3.17,3.17,76.1,22222.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,1,0.01,3.17,3.17,76.06666667,11111.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2,0.0,0.17,0.17,3.983333333,55556.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,3,0.01,0.17,0.17,3.966666667,83125.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,3,0.01,0.17,0.17,3.966666667,83125.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,0.01,3.17,3.17,75.96666667,77778.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0.01,0.16,0.16,3.733333333,22222.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0.02,0.15,0.15,3.666666667,84375.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0.02,3.15,3.15,75.71666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.0,0.15,0.15,3.616666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0.01,0.0,80.15,75.63333333,66667.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.0,3.15,3.15,75.58333333,38.85,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,0,0.01,3.15,3.15,75.56666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0.0,3.15,3.15,75.55,88889.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,0.0,0.0,80.15,75.53333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2,0.0,0.14,0.14,3.416666667,66667.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.0,3.14,3.14,75.43333333,85625.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.01,3.14,3.14,75.38333333,33333.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5,0,0.01,0.14,0.14,3.316666667,33333.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0.0,0.14,0.14,3.266666667,66667.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0.03,0.13,0.13,3.216666667,0.8625,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,3.14,3.14,75.26666667,44444.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0.0,0.13,0.13,3.183333333,88889.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0.0,3.13,3.13,75.15,55556.0,20.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0.0,0.13,0.13,3.066666667,86875.0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
